"person_id","Name","birth_year","death_year","ceda_id","Target","first_year","last_year"
467,George Ford Copeland,"1,810","1,873",3,ESL,1861,1871
471,Tullie Cornthwaite,"1,807",NA,3,ESL,1845,1871
476,W Coulson,"1,795","1,860",3,ESL,1844,1844
492,John Crawfurd,"1,783","1,868",3,ESL,1847,1868
493,Oswald John Crawfurd,"1,834","1,909",3,ESL,1861,1871
496,W J Crichton,NA,NA,3,ESL,1862,1868
499,J  McGregor Croft,NA,NA,3,ESL,1860,1862
500,Thomas Francis Dillon Croker,"1,831","1,912",3,ESL,1857,1871
504,Jonathan Sparrow Crowley,"1,826","1,888",3,ESL,1862,1867
507,Richard Cull,NA,"1,892",3,ESL,1845,1857
509,Henry Syer Cuming,"1,817","1,902",3,ESL,1844,1844
510,Richard S Cunliffe,NA,"1,879",3,ESL,1855,1871
511,Alexander Cunningham,"1,814","1,893",3,ESL,1869,1871
512,Manockjee Cursetjee,"1,808","1,887",3,ESL,1865,1868
516,George Cutler,NA,NA,3,ESL,1860,1871
518,Marie-Armand de Castera-Macaya D'Avezac,"1,798","1,875",3,ESL,1855,1871
522,T Dakin,NA,NA,3,ESL,1856,1856
523,David Dale,"1,829","1,906",3,ESL,1860,1863
527,G  Wythes Daniell,NA,NA,3,ESL,1858,1871
529,William Freeman Daniell,"1,818","1,865",3,ESL,1843,1865
531,Robert Dukinfield Darbishire,"1,826","1,908",3,ESL,1868,1871
534,P  Francis Dart,NA,NA,3,ESL,1843,1851
536,Charles Darwin,"1,809","1,882",3,ESL,1861,1871
537,Erasmus (Ras) Darwin,"1,804","1,881",3,ESL,1862,1863
538,George Webbe Dasent,"1,817","1,896",3,ESL,1860,1860
553,George Henry Daw,NA,NA,3,ESL,1868,1871
554,William Boyd Dawkins,"1,837","1,929",3,ESL,1869,1871
557,G T Day,NA,NA,3,ESL,1844,1844
565,George Dennis,"1,814","1,898",3,ESL,1869,1869
567,M Des Barres,"1,800","1,885",3,ESL,1851,1862
570,x Devonshire,"1,808","1,891",3,ESL,1862,1871
571,Hugh Welch Diamond,"1,809","1,886",3,ESL,1846,1852
573,John jun Dickinson,NA,NA,3,ESL,1865,1871
574,John Jun Dickinson,"1,782","1,869",3,ESL,1861,1869
575,Henry Dickman,NA,NA,3,ESL,1862,1869
576,Charles Sheffield Dickson,NA,NA,3,ESL,1848,1848
577,Peter Dickson,NA,NA,3,ESL,1866,1867
581,Charles Wentworth Dilke,"1,843","1,911",3,ESL,1870,1871
587,Jacob Ludwig Dohne,"1,811","1,879",3,ESL,1856,1871
591,Cornelius Donovan,"1,820","1,872",3,ESL,1863,1869
604,Gustavus Dressler,NA,NA,3,ESL,1844,1844
611,x Dublin,"1,787","1,863",3,ESL,1844,1863
614,Samuel Duckworth,NA,NA,3,ESL,1844,1848
615,William Duckworth,"1,795","1,876",3,ESL,1863,1868
624,David Duncan,"1,839","1,923",3,ESL,1870,1871
626,Peter Martin Duncan,"1,824","1,891",3,ESL,1869,1869
627,R  Murray Dundas,NA,NA,3,ESL,1843,1845
628,Alfred John Dunkin,"1,812","1,879",3,ESL,1868,1871
631,Robert Dunn,"1,799","1,877",3,ESL,1844,1871
632,x Dunraven & Mountearl,"1,812","1,871",3,ESL,1870,1871
634,Patrick Frederick Durham,NA,NA,3,ESL,1843,1849
636,William Thistleton Dyer,NA,NA,3,ESL,1845,1850
638,George Windsor Earl,"1,813","1,865",3,ESL,1862,1862
640,Joseph William Eastwood,"1,828","1,916",3,ESL,1862,1871
646,John Edwards,NA,NA,3,ESL,1870,1871
649,Francis Egerton,"1,800","1,857",3,ESL,1844,1857
650,George Granville Francis Egerton,"1,823","1,862",3,ESL,1857,1862
651,x Egypt,"1,822","1,863",3,ESL,1862,1863
652,John Elder,"1,824","1,869",3,ESL,1855,1855
655,Walter Elliot,"1,803","1,887",3,ESL,1869,1871
656,J H Elliott,NA,NA,3,ESL,1849,1849
658,James Ellis,NA,NA,3,ESL,1862,1862
660,John Elphinstone,NA,"1,854",3,ESL,1844,1854
661,Mountstuart Elphinstone,"1,779","1,859",3,ESL,1844,1859
664,John E Erichsen,"1,818","1,896",3,ESL,1843,1847
666,William Erle,"1,793","1,880",3,ESL,1863,1871
668,Kennedy Erskine,"1,828","1,870",3,ESL,1861,1861
670,William Euing,"1,788","1,874",3,ESL,1866,1871
672,John Evans,"1,823","1,908",3,ESL,1861,1871
679,William Fairbairn,"1,789","1,874",3,ESL,1863,1871
684,Adam Storey Farrar,"1,826","1,905",3,ESL,1870,1871
688,Adolphe Duchart Fauvet,NA,NA,3,ESL,1843,1847
690,W S Featherstone,NA,NA,3,ESL,1846,1846
698,Edwin Foxton Firby,NA,NA,3,ESL,1864,1871
700,James Firm,NA,NA,3,ESL,1854,1871
704,Anthony Lax Fisher,NA,NA,3,ESL,1863,1867
706,Morton Coates Fisher,NA,NA,3,ESL,1870,1871
707,Robert Fitzroy,"1,805","1,865",3,ESL,1851,1863
709,William S Fitzwilliam,NA,NA,3,ESL,1868,1871
711,James William Fleming,NA,NA,3,ESL,1861,1863
712,John B Fletcher,NA,NA,3,ESL,1847,1847
713,Joseph Fletcher,NA,"1,852",3,ESL,1844,1852
716,John Wickham Flower,"1,807","1,873",3,ESL,1869,1871
718,George Folsom,"1,802","1,869",3,ESL,1866,1869
720,David Forbes,"1,828","1,876",3,ESL,1869,1871
724,Richard Fort,"1,822","1,868",3,ESL,1864,1868
725,G A Forteath,"1,819","1,862",3,ESL,1844,1844
730,Robert Nicholas Fowler,"1,828","1,891",3,ESL,1851,1871
731,William Fowler,NA,NA,3,ESL,1851,1851
732,Charles Henry Fox,NA,NA,3,ESL,1861,1871
734,Augustus Wollaston Franks,"1,826","1,897",3,ESL,1863,1871
738,Thomas Fraser,"1,808","1,891",3,ESL,1865,1871
743,William Freund,"1,806","1,894",3,ESL,1853,1871
744,John Friend,NA,NA,3,ESL,1851,1852
750,Albert Fytche,"1,820","1,892",3,ESL,1866,1871
753,Griffin Curtis Galt,NA,NA,3,ESL,1845,1845
754,Douglas Galton,"1,822","1,899",3,ESL,1861,1871
755,Francis Galton,"1,822","1,911",3,ESL,1862,1871
759,C T Gardner,NA,NA,3,ESL,1869,1871
761,E V Gardner,NA,NA,3,ESL,1861,1871
762,Peter Gardner,NA,"1,872",3,ESL,1846,1871
765,Thomas B Gascoyne,NA,NA,3,ESL,1862,1863
766,John Peter Gassiot,"1,797","1,877",3,ESL,1862,1871
769,x Gawler,"1,795","1,869",3,ESL,1844,1846
778,Enrico Hillyer Giglioli,"1,845","1,909",3,ESL,1862,1871
780,William Gillespie,NA,"1,875",3,ESL,1865,1871
784,James William Glass,"1,825","1,857",3,ESL,1852,1852
785,x Glasse,NA,NA,3,ESL,1843,1856
787,Albert Gledstanes,NA,NA,3,ESL,1845,1845
790,George Grenfell Glyn,"1,824","1,887",3,ESL,1860,1862
796,Isaac Lyon Goldsmid,"1,778","1,859",3,ESL,1844,1847
797,Thomas Gole,NA,NA,3,ESL,1844,1847
802,Richard Thomas Gore,"1,799","1,881",3,ESL,1860,1869
805,John Gould,"1,804","1,881",3,ESL,1843,1860
808,D G Goyder,"1,796","1,878",3,ESL,1855,1855
811,x Granville,"1,833","1,900",3,ESL,1843,1844
822,George Bellas Greenough,"1,778","1,855",3,ESL,1844,1855
824,William Greenwell,"1,820","1,918",3,ESL,1868,1869
826,William Rathbone Greg,"1,809","1,881",3,ESL,1865,1871
830,Charles Edward Grey,"1,785","1,865",3,ESL,1860,1862
831,George Grey,"1,812","1,898",3,ESL,1860,1871
832,Henry Rowland Ellison Grey,"1,834","1,909",3,ESL,1861,1871
837,John Griffith,NA,NA,3,ESL,1848,1848
838,Richard Trygarn Griffith,"1,788","1,866",3,ESL,1864,1866
840,J C Griffiths,NA,NA,3,ESL,1843,1849
841,Richard Clewin Griffiths,NA,NA,3,ESL,1844,1849
845,John Grover,NA,NA,3,ESL,1844,1847
848,Augustus Guest,NA,NA,3,ESL,1847,1847
849,William Vernon Guise,"1,816","1,887",3,ESL,1869,1871
853,John Henry Gurney,"1,819","1,890",3,ESL,1860,1867
855,Alexander Guthrie,"1,796","1,865",3,ESL,1862,1862
856,James Guthrie,NA,"1,900",3,ESL,1862,1871
857,Johann Franz ('Julius') Haast,"1,822","1,887",3,ESL,1870,1871
861,William Hall,NA,NA,3,ESL,1843,1850
862,Henry Hallam,"1,777","1,859",3,ESL,1846,1852
864,Alexander C Hamilton,NA,NA,3,ESL,1869,1871
865,Archibald Hamilton,"1,818","1,880",3,ESL,1863,1871
867,Rowland Hamilton,NA,NA,3,ESL,1853,1871
887,F W Harrer,NA,NA,3,ESL,1861,1861
892,William Cornwallis Harris,"1,807","1,848",3,ESL,1844,1848
893,Charles (1) Harrison,NA,NA,3,ESL,1869,1871
894,William G S Harrison,NA,NA,3,ESL,1851,1853
899,John E Harvey,NA,"1,879",3,ESL,1863,1871
902,John Hastings,NA,NA,3,ESL,1844,1850
907,Walter Hawkins,NA,NA,3,ESL,1844,1860
908,John Hay,NA,NA,3,ESL,1861,1862
910,Ferdinand Vandeveer Hayden,"1,829","1,887",3,ESL,1869,1871
913,R W Haynes,NA,NA,3,ESL,1861,1861
922,Peter Christian Heldman,"1,808","1,866",3,ESL,1862,1862
924,Alexander Henderson,"1,804",NA,3,ESL,1854,1871
927,Robert Henderson,"1,811","1,871",3,ESL,1863,1871
929,Joseph Henry,"1,797","1,878",3,ESL,1869,1871
931,James Hepburn,"1,811","1,869",3,ESL,1867,1869
932,Robert Hepburn,NA,NA,3,ESL,1855,1871
938,B Hewitt,NA,NA,3,ESL,1871,1871
939,Jonas B Hewitt,NA,NA,3,ESL,1869,1869
941,James Heywood,"1,810","1,897",3,ESL,1844,1871
946,Arthur Hill,NA,NA,3,ESL,1844,1844
956,Frederick Hindmarsh,NA,"1,875",3,ESL,1844,1871
960,x Hitchman,"1,805","1,867",3,ESL,1853,1853
967,Thomas (1) Hodgkin,"1,798","1,866",3,ESL,1844,1862
968,Brian Houghton Hodgson,"1,801","1,894",3,ESL,1854,1871
969,Kirkman Daniel Hodgson,"1,814","1,879",3,ESL,1863,1871
970,"x Hoeven, Van der","1,801","1,868",3,ESL,1861,1868
973,J W Holgate,NA,NA,3,ESL,1843,1845
976,Robert Hollond,"1,808","1,877",3,ESL,1862,1867
977,x Holmberg,"1,818","1,864",3,ESL,1861,1861
978,H N Holme,NA,NA,3,ESL,1843,1845
982,Joseph Hooker,"1,817","1,911",3,ESL,1868,1871
984,Frederick William Hope,"1,797","1,862",3,ESL,1846,1851
987,W J S Horton,NA,NA,3,ESL,1864,1868
988,John Camden Hotten,"1,832","1,873",3,ESL,1866,1871
995,Alfred How,NA,NA,3,ESL,1854,1854
1000,Henry Hoyle Howorth,"1,842","1,923",3,ESL,1866,1871
1007,T A Hughes,NA,NA,3,ESL,1844,1844
1008,Thomas McKenny Hughes,"1,832","1,917",3,ESL,1869,1871
1011,"Alexander Humboldt, Von","1,769","1,859",3,ESL,1853,1859
1013,George S  Lennon Hunt,NA,NA,3,ESL,1862,1870
1014,James Hunt,"1,833","1,869",3,ESL,1856,1869
1016,John (2) Hunt,NA,"1,879",3,ESL,1866,1871
1017,William Wilson Hunter,"1,840","1,900",3,ESL,1870,1871
1018,Frank J Husband,NA,NA,3,ESL,1862,1862
1019,H A Husband,NA,NA,3,ESL,1867,1868
1024,Thomas Henry Huxley,"1,825","1,895",3,ESL,1863,1871
1027,William Imrie,"1,836","1,906",3,ESL,1848,1867
1029,Robert Ingham,"1,793","1,875",3,ESL,1844,1862
1030,John Inglis,"1,808","1,891",3,ESL,1854,1871
1031,Robert M Inman,NA,NA,3,ESL,1869,1871
1034,Arthur Constantine Ionides,"1,810","1,890",3,ESL,1844,1850
1036,J  Clayfield Ireland,NA,NA,3,ESL,1860,1862
1038,x Isenburg,NA,NA,3,ESL,1854,1871
1042,Henry (the father) Jackson,"1,806","1,866",3,ESL,1851,1866
1050,x Jagor,"1,816","1,900",3,ESL,1870,1870
1054,F H Janson,NA,NA,3,ESL,1863,1870
1057,John Moore Jeffcott,"1,816","1,892",3,ESL,1869,1871
1060,Edmund Jeffries,NA,NA,3,ESL,1864,1871
1078,x Johore,"1,833","1,895",3,ESL,1866,1871
1082,James Jones,NA,NA,3,ESL,1862,1871
1086,William Jones,NA,NA,3,ESL,1848,1852
1087,William Arthur Jones,"1,818","1,873",3,ESL,1869,1871
1088,William Jordan,NA,NA,3,ESL,1861,1862
1092,J  Beete Jukes,"1,811","1,869",3,ESL,1846,1848
1093,J Kaines,NA,NA,3,ESL,1844,1844
1098,J W  (1) Kaye,NA,NA,3,ESL,1847,1847
1101,Walter K Kelly,NA,NA,3,ESL,1844,1845
1105,James (1) Kennedy,NA,NA,3,ESL,1853,1858
1106,Richard Hartley Kennedy,NA,NA,3,ESL,1855,1868
1108,James Kernahan,"1,827","1,875",3,ESL,1868,1869
1113,David King,NA,"1,866",3,ESL,1844,1866
1115,Joseph Charles King,NA,NA,3,ESL,1843,1843
1117,Richard King,"1,811","1,876",3,ESL,1844,1871
1118,S W King,NA,NA,3,ESL,1861,1863
1120,Phillip Kingsford,NA,NA,3,ESL,1844,1851
1121,Charles Kingsley,"1,819","1,875",3,ESL,1856,1871
1126,Andrew Valentine Kirwan,"1,801","1,870",3,ESL,1843,1844
1127,Richard Kirwan,"1,828","1,872",3,ESL,1869,1871
1129,J L Knapp,NA,NA,3,ESL,1854,1871
1130,William Knight,NA,NA,3,ESL,1848,1848
1131,Robert Knox,"1,791","1,862",3,ESL,1843,1845
1137,Samuel Harley Kough,NA,NA,3,ESL,1855,1855
1143,Samuel Laing,"1,812","1,897",3,ESL,1863,1871
1147,Jones Lamprey,"1,824","1,900",3,ESL,1869,1869
1152,Augustus Henry Lane Fox later Pitt Rivers,"1,827","1,900",3,ESL,1861,1871
1153,Andrew Lang,"1,844","1,912",3,ESL,1861,1871
1156,J Langlands,NA,NA,3,ESL,1867,1871
1157,R Langlands,NA,NA,3,ESL,1867,1867
1160,Robert Gordon Latham,"1,812","1,888",3,ESL,1844,1853
1164,Joseph Law,NA,"1,897",3,ESL,1852,1852
1165,Edward Lawford,"1,820","1,899",3,ESL,1857,1871
1168,John Lawrence,NA,NA,3,ESL,1856,1856
1172,Henry N Lay,NA,NA,3,ESL,1863,1867
1173,Austen Henry Layard,"1,817","1,894",3,ESL,1853,1871
1174,x Layland,NA,NA,3,ESL,1869,1869
1180,John Edward Lee,"1,808","1,887",3,ESL,1870,1871
1184,J G S Lefevre,NA,NA,3,ESL,1843,1848
1185,x Lefroy,"1,817","1,890",3,ESL,1870,1870
1189,Joseph Leidy,"1,823","1,891",3,ESL,1869,1871
1193,Arthur Charles Wriothesley Lennox,"1,842","1,876",3,ESL,1866,1871
1194,Richard Lepsius,"1,810","1,884",3,ESL,1854,1871
1196,Karl Georg Friedrich Rudolf Leuckart,"1,822","1,898",3,ESL,1861,1871
1198,Malcolm Lewin,NA,"1,869",3,ESL,1850,1869
1201,James Lewis,NA,NA,3,ESL,1855,1855
1202,x Library of the Corporation of London,NA,NA,3,ESL,1866,1866
1207,Joseph Lister,"1,827","1,912",3,ESL,1844,1847
1210,W J Little,NA,NA,3,ESL,1844,1844
1214,Edmund Lloyd,NA,NA,3,ESL,1861,1861
1215,Francis Lloyd,NA,NA,3,ESL,1844,1850
1216,William Horton Lloyd,NA,NA,3,ESL,1844,1847
1218,William Lockhart,"1,811","1,896",3,ESL,1861,1871
1220,Abraham Logan,"1,816","1,873",3,ESL,1863,1871
1221,J R Logan,"1,819","1,869",3,ESL,1848,1869
1222,x Londesborough,"1,834","1,900",3,ESL,1854,1857
1224,William Long,"1,817","1,886",3,ESL,1869,1871
1229,Horatio Love,NA,"1,882",3,ESL,1850,1871
1231,x Lovewell,NA,NA,3,ESL,1845,1845
1235,John Lubbock,"1,834","1,913",3,ESL,1863,1871
1236,Johann Constantin August Lucae,"1,835","1,911",3,ESL,1861,1871
1239,J W Lukis,"1,816","1,894",3,ESL,1870,1871
1251,John Gray Macfarlane,NA,NA,3,ESL,1865,1871
1252,G Macgowan,NA,NA,3,ESL,1861,1871
1254,K Mackenzie,NA,NA,3,ESL,1856,1856
1256,Samuel Joseph Mackie,"1,823","1,902",3,ESL,1861,1864
1258,Lauchlan Mackinnon,"1,817","1,888",3,ESL,1862,1862
1260,Daniel Mackintosh,"1,815","1,891",3,ESL,1861,1868
1262,J Mackrell,NA,NA,3,ESL,1850,1862
1265,Samuel Maclean,"1,818","1,864",3,ESL,1854,1856
1266,George Macleay,"1,809","1,891",3,ESL,1869,1869
1267,Andrew Maclure,"1,813","1,886",3,ESL,1866,1871
1269,Charles James Major,NA,NA,3,ESL,1844,1844
1271,Charles Malcolm,"1,782","1,851",3,ESL,1844,1851
1272,William Elphinstone Malcolm,"1,817","1,907",3,ESL,1844,1871
1273,Alfred Mallalieu,NA,NA,3,ESL,1844,1844
1276,Robert James Mann,"1,817","1,886",3,ESL,1866,1871
1279,Clements Robert Markham,"1,830","1,916",3,ESL,1864,1871
1283,Matthew Henry Marsh,"1,810","1,881",3,ESL,1862,1871
1286,Peter Marshall,NA,NA,3,ESL,1844,1844
1288,William Marshall,"1,796","1,872",3,ESL,1866,1867
1290,Edward Martin,NA,NA,3,ESL,1844,1844
1296,Richard Biddulph Martin,"1,838","1,916",3,ESL,1868,1871
1297,Thomas Martin,NA,NA,3,ESL,1844,1844
1300,James Wood Mason,"1,846","1,893",3,ESL,1869,1871
1309,Edward V Maur,"1,804","1,885",3,ESL,1861,1861
1310,Alfred Maury,"1,817","1,892",3,ESL,1861,1871
1311,George Maw,"1,832","1,912",3,ESL,1865,1868
1314,Peter Benson Maxwell,"1,817","1,893",3,ESL,1867,1871
1316,Thomas May,NA,NA,3,ESL,1844,1844
1318,Joseph Mayer,"1,803","1,886",3,ESL,1854,1871
1319,William Frederick Mayers,"1,831","1,878",3,ESL,1864,1871
1321,John S Mayson,"1,825",NA,3,ESL,1856,1864
1326,James McClelland,"1,799","1,879",3,ESL,1854,1870
1334,John Ferguson McLennan,"1,827","1,881",3,ESL,1870,1871
1336,John Frederick McNair,"1,828","1,910",3,ESL,1866,1871
1337,H McNicholl,NA,NA,3,ESL,1854,1854
1339,Thomas Taylor Meadows,"1,815","1,868",3,ESL,1854,1868
1343,James Aitken Meigs,"1,829","1,879",3,ESL,1861,1871
1350,Edward Meryon,NA,NA,3,ESL,1844,1844
1352,Samuel Rush Meyrick,"1,783","1,848",3,ESL,1843,1843
1358,William Augustus Miles,NA,NA,3,ESL,1851,1871
1362,Joseph Milligan,"1,807","1,884",3,ESL,1861,1871
1368,Henri Milne-Edwards,"1,800","1,885",3,ESL,1853,1871
1370,x Milton,"1,839","1,877",3,ESL,1864,1871
1375,Albert Mitchell,NA,NA,3,ESL,1868,1871
1376,Alexander (1) Mitchell,"1,831","1,873",3,ESL,1858,1871
